stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech	chd_sea
575	1	1	0	0.0004937	1.496025404
576	1	1	0	0.0005851	1.217785252
577	1	1	0	0.00073135	0.837911691
578	1	1	0	0.00084485	0.422088309
579	1	1	0	0.0011683	0.042214748
580	1	1	0	0.0012208	-0.236025404
581	1	1	0	0.00108	-0.364521895
582	1	1	0	0.00084052	-0.321056516
583	1	1	0	0.00061232	-0.113144825
584	1	1	0	0.0006555	0.223263357
585	1	1	0	0.00085807	0.63
586	1	1	0	0.00093168	1.036736643
587	1	1	0	0.00081813	1.373144825
588	1	1	0	0.0006428	1.581056516
589	1	1	0	0.00051002	1.624521895
590	1	1	0	0.00040057	1.496025404
591	1	1	0	0.00032943	1.217785252
592	1	1	0	0.0002871	0.837911691
593	1	1	0	0.00026678	0.422088309
594	1	1	0	0.0002498	0.042214748
595	1	1	0	0.00024075	-0.236025404
596	1	1	0	0.0002368	-0.364521895
597	1	1	0	0.00024733	-0.321056516
598	1	1	0	0.0003064	-0.113144825
599	1	1	0	0.0003105	0.223263357
600	1	1	0	0.00029385	0.63
601	1	1	0	0.0002699	1.036736643
602	1	1	0	0.00025505	1.373144825
603	1	1	0	0.0002506	1.581056516
604	1	1	0	0.00025193	1.624521895
605	1	1	0	0.00025823	1.496025404
606	1	1	0	0.00025183	1.217785252
607	1	1	0	0.00024457	0.837911691
608	1	1	0	0.00024033	0.422088309
609	1	1	0	0.00023675	0.042214748
610	1	1	0	0.00023437	-0.236025404
611	1	1	0	0.00023423	-0.364521895
612	1	1	0	0.00023723	-0.321056516
613	1	1	0	0.00027075	-0.113144825
614	1	1	0	0.00026005	0.223263357
615	1	1	0	0.00024642	0.63
616	1	1	0	0.00023972	1.036736643
617	1	1	0	0.00023613	1.373144825
618	1	1	0	0.00023437	1.581056516
619	1	1	0	0.00023423	1.624521895
620	1	1	0	0.00023423	1.496025404
621	1	1	0	0.00023423	1.217785252
622	1	1	0	0.00023423	0.837911691
623	1	1	0	0.0002342	0.422088309
624	1	1	0	0.00023423	0.042214748
625	1	1	0	0.00023423	-0.236025404
626	1	1	0	0.00023423	-0.364521895
627	1	1	0	0.00023423	-0.321056516
628	1	1	0	0.00023423	-0.113144825
629	1	1	0	0.0002342	0.223263357
630	1	1	0	0.00023417	0.63
631	1	1	0	0.00023413	1.036736643
632	1	1	0	0.00023405	1.373144825
633	1	1	0	0.00023397	1.581056516
634	1	1	0	0.00023383	1.624521895
635	1	1	0	0.00023373	1.496025404
636	1	1	0	0.00023355	1.217785252
637	1	1	0	0.00023332	0.837911691
638	1	1	0	0.00023315	0.422088309
639	1	1	0	0.00023298	0.042214748
640	1	1	0	0.00023275	-0.236025404
641	1	1	0	0.00023255	-0.364521895
642	1	1	0	0.00023232	-0.321056516
643	1	1	0	0.0002321	-0.113144825
644	1	1	0	0.00023187	0.223263357
645	1	1	0	0.00023165	0.63
646	1	1	0	0.00023143	1.036736643
647	1	1	0	0.0002312	1.373144825
648	1	1	0	0.00023098	1.581056516
649	1	1	0	0.00023078	1.624521895
650	1	1	0	0.00023062	1.496025404
651	1	1	0	0.00023045	1.217785252
652	1	1	0	0.00023028	0.837911691
653	1	1	0	0.00023008	0.422088309
654	1	1	0	0.00022995	0.042214748
655	1	1	0	0.00022977	-0.236025404
656	1	1	0	0.00022957	-0.364521895
657	1	1	0	0.00022938	-0.321056516
658	1	1	0	0.00022925	-0.113144825
659	1	1	0	0.0002291	0.223263357
660	1	1	0	0.00022892	0.63
661	1	1	0	0.00022883	1.036736643
662	1	1	0	0.00022872	1.373144825
663	1	1	0	0.0002286	1.581056516
664	1	1	0	0.00022857	1.624521895
665	1	1	0	0.00022853	1.496025404
666	1	1	0	0.00022843	1.217785252
667	1	1	0	0.00022835	0.837911691
668	1	1	0	0.0002284	0.422088309
669	1	1	0	0.00022857	0.042214748
670	1	1	0	0.00022865	-0.236025404
671	1	1	0	0.00022863	-0.364521895
672	1	1	0	0.0002286	-0.321056516
673	1	1	0	0.0002285	-0.113144825
674	1	1	0	0.00022845	0.223263357
675	1	1	0	0.0002284	0.63
676	1	1	0	0.00022833	1.036736643
677	1	1	0	0.00022828	1.373144825
678	1	1	0	0.00022828	1.581056516
679	1	1	0	0.0002282	1.624521895
680	1	1	0	0.00022812	1.496025404
681	1	1	0	0.00022805	1.217785252
682	1	1	0	0.00022793	0.837911691
683	1	1	0	0.00022785	0.422088309
684	1	1	0	0.00022773	0.042214748
685	1	1	0	0.00022757	-0.236025404
686	1	1	0	0.00022743	-0.364521895
687	1	1	0	0.00022725	-0.321056516
688	1	1	0	0.00022707	-0.113144825
